Survived,Pclass,Sex,Age,Fare,Embarked,IsAlone
0,3,0,1,7.125,0,1
0,3,0,1,7.225,1,1
0,1,0,2,90.0,2,0
0,3,1,1,7.775,0,1
1,2,1,1,14.5,0,0
1,1,0,2,52.5542,0,0
0,2,0,3,26.0,0,0
0,3,0,1,7.25,0,1
0,3,1,1,10.4625,0,0
0,1,0,3,26.55,0,1
0,3,0,1,16.1,0,0
0,3,1,2,20.2125,0,0
1,3,1,1,15.2458,1,0
1,1,1,2,79.2,1,1
1,1,1,1,86.5,0,1
1,1,1,2,512.3292,1,1
1,2,1,3,26.0,0,0
0,3,0,1,7.75,2,1
1,3,0,0,31.3875,0,0
0,1,0,3,79.65,0,0
0,1,0,2,0.0,0,1
0,3,1,1,7.75,2,1
0,2,0,2,10.5,0,1
0,3,0,0,39.6875,0,0
1,3,0,1,7.775,0,0
1,1,1,3,153.4625,0,0
1,1,1,2,135.6333,0,1
0,1,0,2,31.0,0,1
1,3,0,1,0.0,0,1
1,2,1,2,19.5,0,0
0,1,0,2,29.7,1,0
1,3,1,1,7.75,2,1
1,1,1,3,77.9583,0,0
0,3,1,2,7.75,0,1
0,2,0,1,0.0,0,1
0,3,0,0,29.125,2,0
1,3,1,2,20.25,0,0
0,3,0,65,7.75,2,1
0,3,0,1,7.8542,0,1
0,3,0,0,9.5,0,1
1,3,0,1,8.05,0,1
0,1,0,2,26.0,0,1
0,3,0,2,8.6625,1,1
1,3,0,1,9.5,0,1
0,3,0,1,7.8958,0,1
1,2,0,2,13.0,0,1
1,3,1,1,7.75,2,1
1,1,1,1,78.85,0,1
1,1,1,1,91.0792,1,0
0,2,0,2,12.875,1,1
0,3,1,1,8.85,0,1
0,3,0,1,7.8958,0,1
0,1,0,2,27.7208,1,1
0,3,0,1,7.2292,1,1
0,1,1,0,151.55,0,0
1,1,0,2,30.5,0,1
1,1,1,3,247.5208,1,0
1,3,1,1,7.75,2,1
1,3,0,1,23.25,2,0
0,3,0,1,0.0,0,1
1,2,1,1,12.35,2,1
0,3,0,1,8.05,0,1
1,1,0,0,151.55,0,0
1,1,1,2,110.8833,1,1
1,1,1,1,108.9,1,0
0,2,0,1,24.0,1,0
1,1,1,1,56.9292,1,1
1,1,1,1,83.1583,1,1
1,1,1,1,262.375,1,0
0,2,1,1,26.0,0,0
0,3,0,1,7.8958,0,1
0,2,0,2,26.25,0,0
1,3,1,1,7.8542,0,1
1,2,1,1,26.0,0,0
0,2,0,3,14.0,0,1
1,1,1,1,164.8667,0,0
1,1,1,2,134.5,1,0
0,3,0,1,7.25,0,1
0,3,0,1,7.8958,0,1
1,2,1,1,12.35,2,1
1,2,1,1,29.0,0,0
0,3,0,1,69.55,0,0
1,1,1,2,135.6333,1,1
0,3,0,3,6.2375,0,1
1,2,1,2,13.0,0,1
1,3,1,1,20.525,0,0
1,1,1,0,57.9792,1,0
1,3,1,1,23.25,2,0
0,1,0,2,28.5,0,1
0,1,0,2,153.4625,0,0
0,3,0,0,18.0,0,0
1,1,1,2,133.65,0,0
0,3,0,1,7.8958,0,1
0,1,0,1,66.6,0,0
1,1,1,2,134.5,1,1
1,3,0,2,8.05,0,1
0,1,0,2,35.5,0,1
1,2,0,0,26.0,0,0
1,1,1,1,263.0,0,0
0,2,0,1,13.0,0,1
0,2,0,1,13.0,0,1
0,2,0,2,13.0,0,1
1,2,1,1,13.0,0,1
1,2,1,2,13.0,0,1
1,3,1,1,16.1,0,0
1,3,0,0,15.9,0,0
0,3,0,2,8.6625,0,1
0,3,0,1,9.225,0,1
0,1,0,2,35.0,0,1
0,3,0,0,7.2292,1,0
0,3,0,1,17.8,0,0
0,3,0,1,7.225,1,1
0,3,0,1,9.5,0,1
1,1,1,1,55.0,0,0
0,2,1,2,13.0,0,1
1,3,1,1,7.8792,2,1
1,3,1,1,7.8792,2,1
0,3,0,2,27.9,0,0
0,2,0,1,27.7208,1,0
0,3,1,2,14.4542,1,0
0,3,0,2,7.05,0,1
0,3,0,1,15.5,2,0
0,3,0,1,7.25,0,1
1,1,1,3,75.25,1,0
1,3,1,1,7.2292,1,1
1,3,1,1,7.75,2,1
1,1,1,1,69.3,1,1
1,1,0,1,55.4417,1,0
0,3,0,1,6.4958,0,0
0,3,0,1,8.05,0,1
0,1,0,1,135.6333,1,1
0,3,1,0,21.075,0,0
1,1,1,2,82.1708,1,0
1,3,1,1,7.25,0,1
0,1,0,1,211.5,1,0
0,3,0,1,4.0125,1,1
0,3,0,1,7.775,0,1
1,1,1,2,227.525,1,1
1,3,1,0,15.7417,1,0
0,3,0,1,7.925,0,1
1,1,1,2,52.0,0,0
0,3,0,1,7.8958,0,1
0,2,0,1,73.5,0,1
0,3,0,0,46.9,0,0
1,2,1,2,13.0,0,1
0,3,0,1,7.7292,2,1
1,2,1,1,12.0,1,1
1,1,0,2,120.0,0,0
1,3,0,1,7.7958,0,1
0,3,0,1,7.925,0,0
1,1,1,1,113.275,1,0
1,3,1,1,16.7,0,0
0,3,0,1,7.7958,0,1
0,3,1,1,7.8542,0,1
0,2,0,2,26.0,0,1
0,2,0,1,10.5,0,1
1,2,1,1,12.65,0,1
1,3,0,2,7.925,0,1
0,3,0,1,8.05,0,1
0,3,1,1,9.825,0,0
0,3,0,1,15.85,0,0
0,3,1,1,8.6625,0,1
0,2,0,2,21.0,0,0
0,3,0,3,7.75,0,1
1,2,0,0,18.75,0,0
0,3,0,1,7.775,0,1
0,3,1,1,25.4667,0,0
0,3,0,1,7.8958,0,1
0,3,0,1,6.8583,2,1
1,1,1,2,90.0,2,0
0,2,0,1,0.0,0,1
1,3,0,2,7.925,0,1
0,3,1,1,8.05,0,1
1,2,1,2,32.5,0,0
1,2,1,1,13.0,0,0
0,2,0,1,13.0,0,1
0,3,1,0,24.15,0,0
0,3,0,1,7.8958,1,1
0,3,0,1,7.7333,2,1
0,3,0,1,7.875,0,1
0,3,1,1,14.4,0,0
0,3,0,1,20.2125,0,0
0,3,0,1,7.25,0,1
1,2,1,1,26.0,0,0
1,2,1,1,26.0,0,1
0,3,0,1,7.75,2,1
1,3,0,1,8.05,0,1
1,1,0,1,26.55,0,1
1,3,1,1,16.1,0,0
1,2,1,2,26.0,0,0
0,3,0,1,7.125,0,1
0,1,0,3,55.9,0,0
1,1,1,0,120.0,0,0
0,3,1,1,34.375,0,0
1,2,1,1,18.75,0,0
0,1,0,3,263.0,0,0
0,2,0,1,10.5,0,1
1,2,1,2,26.25,0,0
0,3,0,1,9.5,0,1
0,3,0,1,7.775,0,0
1,2,1,1,13.0,0,1
1,3,0,1,8.1125,0,1
1,1,0,0,81.8583,0,0
1,2,1,0,19.5,0,0
1,1,0,2,26.55,0,1
1,3,1,0,19.2583,1,0
1,1,0,3,30.5,0,1
0,2,0,2,27.75,0,0
0,3,0,1,19.9667,0,0
0,1,0,1,27.75,1,1
1,1,0,3,89.1042,1,0
0,3,0,1,8.05,0,1
1,3,0,1,7.8958,1,1
0,1,0,65,26.55,0,1
1,1,1,2,51.8625,0,0
1,2,1,3,10.5,0,1
0,3,0,1,7.75,2,1
1,1,0,2,26.55,0,1
0,3,0,2,8.05,0,1
0,1,0,2,38.5,0,1
0,2,0,2,13.0,0,1
0,3,0,1,8.05,0,1
0,3,0,2,7.05,0,1
0,2,0,1,0.0,0,1
0,1,0,3,26.55,0,1
0,3,0,1,7.725,2,1
1,3,1,0,19.2583,1,0
0,3,0,1,7.25,0,1
0,3,0,2,8.6625,0,1
1,2,1,2,27.75,0,0
1,2,1,1,13.7917,1,1
0,3,1,1,9.8375,0,1
0,1,0,2,52.0,0,1
0,2,0,2,21.0,0,0
0,3,0,1,7.0458,0,0
0,3,0,1,7.5208,0,1
1,3,1,0,12.2875,0,0
0,3,0,0,46.9,0,0
0,2,0,1,0.0,0,1
0,3,0,3,8.05,0,1
1,3,1,3,9.5875,0,1
1,1,0,1,91.0792,1,0
0,3,1,1,25.4667,0,0
1,1,1,2,90.0,0,0
0,1,0,3,29.7,1,1
0,3,0,1,8.05,0,1
1,3,0,0,15.9,0,0
0,3,0,1,19.9667,0,0
0,3,0,1,7.25,0,1
0,1,0,3,30.5,0,1
0,1,0,71,49.5042,1,1
0,3,0,1,8.05,0,1
0,3,0,1,14.4583,1,1
1,1,1,3,78.2667,1,0
0,3,0,1,15.1,0,1
0,1,1,1,151.55,0,0
0,3,0,1,7.7958,0,1
0,3,0,1,8.6625,0,1
0,3,1,1,7.75,2,1
0,3,1,1,7.6292,2,1
0,3,1,2,9.5875,0,1
1,1,1,0,86.5,0,1
0,1,0,1,108.9,1,0
1,2,1,2,26.0,0,0
1,1,0,2,26.55,0,1
0,3,0,1,22.525,0,1
1,3,0,1,56.4958,0,1
1,3,0,1,7.75,2,1
0,3,0,1,8.05,0,1
1,1,0,2,26.2875,0,1
1,1,1,3,59.4,1,0
0,3,0,1,7.4958,0,1
0,1,0,2,34.0208,0,1
1,2,1,2,10.5,0,1
0,3,0,1,24.15,2,1
1,2,1,2,26.0,0,0
0,3,0,1,7.8958,0,1
1,1,1,1,93.5,0,1
0,3,0,1,7.8958,0,1
0,3,0,1,7.225,1,1
1,1,1,2,57.9792,1,0
0,3,0,1,7.2292,1,1
0,3,0,2,7.75,2,1
1,2,1,3,10.5,0,1
0,1,0,2,221.7792,0,1
0,3,0,2,7.925,0,1
0,2,0,1,11.5,0,0
1,2,1,0,26.0,0,0
0,3,0,1,7.2292,1,1
0,3,0,1,7.2292,1,0
1,3,1,1,22.3583,1,0
0,3,1,1,8.6625,0,1
1,2,1,0,26.25,0,0
0,1,0,2,26.55,0,1
1,1,1,1,106.425,1,1
0,3,0,1,14.5,0,1
1,1,1,1,49.5,1,0
1,1,1,2,71.0,0,0
0,3,1,0,31.275,0,0
0,3,1,0,31.275,0,0
1,2,0,1,26.0,0,0
0,1,0,3,106.425,1,0
0,1,0,3,26.0,0,1
1,2,1,1,26.0,0,0
1,2,0,1,13.8625,1,1
0,3,0,2,20.525,0,0
1,2,0,0,36.75,0,0
1,1,0,1,110.8833,1,0
0,2,0,1,26.0,0,1
0,3,0,1,7.8292,2,1
1,3,0,1,7.225,1,1
1,3,1,1,7.775,0,1
0,1,0,3,26.55,0,1
1,1,1,2,39.6,1,0
0,1,0,2,227.525,1,1
1,1,1,2,79.65,0,0
1,3,1,2,17.4,0,0
0,3,0,1,7.75,2,1
0,3,0,2,7.8958,0,1
0,2,0,1,13.5,0,1
0,3,0,1,8.05,0,1
0,3,1,1,8.05,0,1
0,3,0,1,24.15,0,0
0,3,0,1,7.8958,0,1
0,3,1,1,21.075,0,0
0,3,0,1,7.2292,1,1
1,3,0,1,7.8542,0,1
1,2,0,3,10.5,0,1
1,1,1,3,51.4792,0,0
1,1,0,2,26.3875,0,1
1,3,1,1,7.75,2,1
0,3,0,0,8.05,0,1
0,3,0,1,14.5,0,1
1,2,1,2,13.0,0,1
1,1,1,2,55.9,0,0
0,3,1,1,14.4583,1,0
1,3,0,1,7.925,0,1
1,2,1,1,30.0,0,0
1,1,1,2,110.8833,1,0
0,2,0,3,26.0,0,1
0,1,0,2,40.125,1,1
0,3,0,1,8.7125,1,1
1,1,1,1,79.65,0,0
0,2,0,2,15.0,0,1
1,1,0,3,79.2,1,0
0,3,0,1,8.05,0,1
0,3,0,1,8.05,0,1
0,3,0,2,7.125,0,1
1,1,1,3,78.2667,1,0
0,3,0,2,7.25,0,1
0,3,1,1,7.75,2,0
0,2,0,2,26.0,0,0
0,3,0,2,24.15,0,0
1,2,1,1,33.0,0,1
0,3,0,3,0.0,0,1
0,3,0,1,7.225,1,1
1,1,0,3,56.9292,1,0
1,2,1,1,27.0,0,0
0,3,0,1,7.8958,0,1
0,1,0,2,42.4,0,1
0,3,0,2,8.05,0,1
1,1,0,2,26.55,1,1
0,3,0,2,15.55,0,0
0,3,0,1,7.8958,0,1
1,1,0,1,30.5,0,1
1,2,1,1,41.5792,1,0
1,1,1,2,153.4625,0,1
0,3,1,2,31.275,0,0
0,3,0,1,7.05,0,1
1,3,1,1,15.5,2,0
0,3,0,1,7.75,2,1
0,3,0,2,8.05,0,1
1,2,1,1,65.0,0,0
0,3,0,2,14.4,0,0
0,3,1,1,16.1,0,0
1,2,1,0,39.0,0,0
0,2,0,1,10.5,0,1
0,3,0,1,14.4542,1,0
1,1,0,2,52.5542,0,0
1,3,0,1,15.7417,1,0
0,3,0,1,7.8542,0,1
0,3,0,1,16.1,0,1
0,1,0,3,32.3208,0,1
0,2,0,3,12.35,2,1
1,1,1,1,77.9583,0,1
0,3,0,1,7.8958,0,1
0,3,0,1,7.7333,2,1
1,1,0,80,30.0,0,1
0,3,0,3,7.0542,0,1
1,1,0,1,30.5,1,1
0,1,0,2,0.0,0,1
0,3,1,0,27.9,0,0
1,2,1,1,13.0,0,1
0,3,0,1,7.925,0,1
0,2,0,1,26.25,0,0
0,3,1,2,39.6875,0,0
0,3,0,1,16.1,0,0
0,3,0,1,7.8542,0,1
1,1,1,1,69.3,1,1
0,3,1,0,27.9,0,0
1,3,0,1,56.4958,0,1
1,3,1,0,19.2583,1,0
1,1,0,2,76.7292,1,0
0,3,0,1,7.8958,0,1
1,1,0,3,35.5,1,1
0,3,0,1,7.55,0,1
1,3,1,1,7.55,0,1
0,3,0,1,7.8958,0,1
1,2,1,1,23.0,0,0
0,3,0,1,8.4333,0,1
1,3,1,1,7.8292,2,1
0,3,1,1,6.75,2,1
0,2,0,1,73.5,0,0
0,3,0,1,7.8958,0,1
0,3,1,1,15.5,2,0
0,2,0,1,13.0,0,1
0,1,0,3,113.275,1,0
1,1,0,3,133.65,0,0
0,3,0,2,7.225,1,1
0,1,0,2,25.5875,0,1
0,3,0,2,7.4958,0,1
1,3,0,1,7.925,0,0
0,2,0,1,73.5,0,0
0,2,0,1,13.0,0,1
0,3,0,1,7.775,0,1
0,3,0,2,8.05,0,1
1,1,1,2,52.0,0,0
1,2,1,2,39.0,0,0
0,1,0,1,52.0,0,0
0,2,0,70,10.5,0,1
1,2,0,1,13.0,0,1
0,2,0,1,0.0,0,1
0,3,0,1,7.775,0,1
0,3,0,1,8.05,0,1
1,3,1,1,9.8417,0,1
0,3,1,2,46.9,0,0
1,1,0,2,512.3292,1,0
0,3,1,1,8.1375,2,1
1,1,0,1,76.7292,1,1
0,3,0,1,9.225,0,1
0,3,0,0,46.9,0,0
0,2,0,3,39.0,0,0
0,2,0,1,41.5792,1,0
0,3,0,0,39.6875,0,0
0,3,0,1,10.1708,0,1
0,3,0,1,7.7958,0,1
1,1,1,0,211.3375,0,0
1,1,0,1,57.0,0,0
1,3,1,0,13.4167,1,0
1,3,0,1,56.4958,0,1
0,3,0,1,7.225,1,1
0,1,0,3,26.55,0,1
0,2,0,3,13.5,0,1
0,3,0,2,8.05,0,1
1,3,1,1,7.7333,2,1
0,1,0,3,110.8833,1,0
0,3,0,2,7.65,0,1
1,1,1,1,227.525,1,0
1,1,0,2,26.2875,0,1
0,3,1,1,14.4542,1,0
0,3,0,1,7.7417,2,1
0,3,0,1,7.8542,0,0
0,2,0,2,26.0,0,1
1,2,1,2,13.5,0,1
1,1,0,2,26.2875,0,1
1,1,1,1,151.55,0,1
1,3,0,1,15.2458,1,0
1,1,1,1,49.5042,1,1
0,1,0,2,26.55,0,1
1,1,0,2,52.0,0,0
0,3,0,1,9.4833,0,1
0,2,0,3,13.0,0,1
0,3,0,1,7.65,0,1
1,1,1,2,227.525,1,1
1,2,1,1,10.5,0,1
0,3,0,1,15.5,2,1
0,3,0,2,7.775,0,1
1,2,1,0,33.0,0,0
0,3,0,1,7.0542,0,0
0,2,0,2,13.0,0,1
0,2,0,3,13.0,0,1
1,1,0,1,53.1,0,0
0,3,0,1,8.6625,0,1
1,2,1,1,21.0,0,0
1,3,1,1,7.7375,2,1
0,2,0,1,26.0,0,0
0,3,1,1,7.925,0,0
1,1,1,1,211.3375,0,1
0,3,0,0,18.7875,1,1
0,2,0,1,0.0,0,1
0,2,0,1,13.0,0,1
0,2,0,1,13.0,0,1
0,3,0,1,16.1,0,1
0,3,1,2,34.375,0,0
1,1,0,2,512.3292,1,1
0,3,0,1,7.8958,0,1
0,3,0,1,7.8958,0,1
1,1,0,2,30.0,0,1
0,1,0,2,78.85,0,0
1,1,1,1,262.375,1,0
0,3,0,1,16.1,0,0
1,3,0,1,7.925,0,1
0,1,0,70,71.0,0,0
0,3,0,0,20.25,0,0
1,2,1,1,13.0,0,1
0,1,0,1,53.1,0,0
0,3,0,1,7.75,2,1
1,2,1,0,23.0,0,0
1,3,0,0,12.475,0,0
0,3,0,2,9.5,0,1
0,3,0,1,7.8958,0,1
1,2,1,2,65.0,0,0
1,2,0,0,14.5,0,0
0,3,0,1,7.7958,0,1
0,2,0,1,11.5,0,1
0,3,0,2,8.05,0,1
1,1,1,2,86.5,0,1
0,3,0,1,14.5,0,1
0,3,0,2,7.125,0,1
1,3,0,1,7.2292,1,1
1,1,1,2,120.0,0,0
0,3,0,0,7.775,0,1
1,1,1,3,77.9583,0,0
0,1,0,2,39.6,1,1
0,3,1,1,7.75,2,1
0,3,0,1,24.15,2,0
0,3,0,1,8.3625,0,1
0,3,0,1,9.5,0,1
0,3,0,2,7.8542,0,1
0,2,1,3,10.5,0,1
0,3,0,1,7.225,1,1
1,2,1,3,23.0,0,0
0,3,0,1,7.75,0,1
0,3,0,1,7.75,2,1
1,3,1,0,12.475,0,1
0,3,0,1,7.7375,2,1
1,1,1,2,211.3375,0,0
1,3,1,0,7.2292,1,1
1,1,1,1,57.0,0,0
0,1,0,1,30.0,0,1
0,3,0,1,23.45,0,0
0,3,0,1,7.05,0,1
0,3,0,1,7.25,0,1
1,3,1,1,7.4958,0,1
0,3,0,0,29.125,2,0
1,3,0,0,20.575,0,0
0,1,0,2,79.2,1,1
0,3,0,1,7.75,2,1
0,2,0,0,26.0,0,1
0,3,1,1,69.55,0,0
0,1,0,2,30.6958,1,1
0,3,0,1,7.8958,0,1
0,2,0,2,13.0,0,1
1,1,1,3,25.9292,0,1
1,3,1,1,8.6833,0,1
0,3,0,1,7.2292,1,1
0,3,1,1,24.15,0,0
0,2,0,2,13.0,0,1
1,2,1,1,26.25,0,0
1,1,0,0,120.0,0,0
1,3,0,0,8.5167,1,0
1,3,0,1,6.975,0,1
0,3,0,1,7.775,0,1
0,1,0,2,0.0,0,1
0,3,1,1,7.775,0,1
0,2,0,2,13.0,0,1
1,1,1,2,53.1,0,0
0,3,0,1,7.8875,0,1
0,3,0,2,24.15,0,1
0,2,0,2,10.5,0,1
0,3,1,0,31.275,0,0
0,3,0,1,8.05,0,1
0,1,0,2,0.0,0,1
0,3,1,1,7.925,0,1
0,2,0,1,37.0042,1,0
0,3,0,2,6.45,0,1
0,3,0,0,27.9,0,0
1,1,1,3,93.5,0,0
1,3,0,1,8.6625,0,1
0,1,0,2,0.0,0,1
1,3,1,1,12.475,0,0
0,3,0,0,39.6875,0,0
0,3,0,1,6.95,2,1
0,3,0,1,56.4958,0,1
1,2,0,0,37.0042,1,0
1,3,0,1,7.75,2,1
1,1,1,3,80.0,0,1
1,3,1,0,14.4542,1,0
1,2,0,0,18.75,0,0
0,3,0,1,7.2292,1,1
0,3,0,1,7.8542,0,1
0,3,0,1,8.3,0,1
1,1,1,2,83.1583,1,0
0,3,0,1,8.6625,0,1
0,3,0,1,8.05,0,1
1,3,0,1,56.4958,0,1
1,1,0,2,29.7,1,1
0,3,0,1,7.925,0,1
0,2,0,0,10.5,0,1
1,1,1,1,31.0,1,1
0,3,0,2,6.4375,1,1
0,3,0,1,8.6625,0,1
0,3,0,2,7.55,0,1
0,3,0,1,69.55,0,0
0,3,0,2,7.8958,1,1
0,2,0,1,33.0,0,0
1,1,1,2,89.1042,1,0
0,3,0,0,31.275,0,0
0,3,0,74,7.775,0,1
0,3,1,0,15.2458,1,0
